haloID mh rh halo_x halo_y halo_z gal_x gal_y gal_z spin_x spin_y spin_z
25000000000000 5606230982656 341.057 12.0086 4.3496 1.3778 11.9831 4.3587 1.4008 185.396 115.822 386.629
25000000000001 3536471982080 292.501 2.1245 10.1099 12.4451 2.1176 10.1499 12.4503 104.347 124.357 225.229
25000000000002 1486978547712 219.141 3.5054 6.7117 7.5803 3.4762 6.6799 7.6011 -353.984 130.307 311.211
25000000000003 1065699966976 196.110 2.9391 9.7896 1.8899 2.9375 9.7908 1.8865 49.743 784.247 460.923
25000000000004 874389635072 183.595 1.8475 8.2676 10.8740 1.8486 8.2656 10.8660 -362.738 4.546 -61.736
25000000000005 599215833088 161.860 2.4527 12.0170 11.5846 2.4594 12.0184 11.5790 -359.595 8.760 563.579
25000000000006 507316305920 153.122 3.5677 5.9554 7.5828 3.5653 5.9539 7.5773 221.920 200.150 162.061
25000000000007 482334736384 150.571 3.7406 8.8149 6.1935 3.7476 8.8187 6.1915 -92.808 22.616 -40.937
25000000000009 478888198144 150.205 10.5630 4.9650 3.4562 10.5667 4.9604 3.4529 63.778 -54.698 118.407
25000000000008 415192055808 143.230 6.0842 9.8590 1.5960 6.0889 9.8558 1.6185 -40.837 28.495 -9.956
25000000000010 359463518208 136.513 8.1111 8.1692 4.5522 8.1033 8.1803 4.5485 21.554 16.445 220.052
25000000000011 341544108032 134.205 1.3015 6.0027 12.0920 1.2997 5.9956 12.0894 -20.850 27.314 -19.354
25000000000012 320528613376 131.396 1.8166 8.8414 11.5627 1.8119 8.8510 11.5944 -101.227 -47.407 111.031
25000000000014 297324838912 128.144 10.2249 4.5468 5.0910 10.2249 4.5438 5.0922 -208.887 -185.023 -117.392
25000000000013 286310727680 126.542 9.4168 7.2355 4.4231 9.4079 7.2320 4.4199 27.233 -56.712 0.334
25000000000015 236493553664 118.725 3.2954 0.8825 10.2040 3.2943 0.8792 10.2039 23.842 87.811 -19.948
25000000000019 212451966976 114.560 2.7331 11.2795 11.9598 2.7283 11.2815 11.9575 2.923 6.512 31.916
25000000000020 190907351040 110.550 3.7450 4.4022 7.9259 3.7297 4.4148 7.9060 137.546 68.999 -131.699
25000000000021 188582805504 110.096 2.4814 1.9770 4.3486 2.4828 1.9816 4.3502 0.414 1.502 11.029
25000000000018 179739033600 108.349 3.7218 6.5978 7.0069 3.7315 6.6071 7.0168 180.339 -180.051 129.300
25000000000017 177976098816 107.994 2.5663 7.1206 9.3860 2.5547 7.1116 9.3909 249.707 -421.899 -280.385
25000000000016 170795024384 106.521 3.7356 9.7957 4.1726 3.7231 9.7970 4.1883 46.120 5.276 29.411
25000000000024 144785555456 100.814 3.8446 9.3967 5.1068 3.8442 9.3834 5.1152 410.519 -28.691 -61.720
25000000000022 144176693248 100.669 3.4864 10.5079 6.9324 3.4907 10.5047 6.9279 -97.724 -78.804 9.512
25000000000023 131422666752 97.613 3.9628 10.2353 4.5411 3.9667 10.2370 4.5387 39.948 -58.755 -48.747
25000000000026 124406317056 95.841 3.7323 9.8809 6.7802 3.7347 9.8790 6.7774 1.100 -45.506 31.598
25000000000025 115296706560 93.442 6.4916 5.9433 4.3440 6.5120 5.9517 4.3249 -55.551 -273.977 -186.616
25000000000030 110430101504 92.107 10.5591 1.9053 5.7975 10.5592 1.9071 5.7985 5.622 -4.684 0.723
25000000000029 107671248896 91.339 1.4615 7.0099 12.0484 1.4652 7.0084 12.0471 -125.034 89.451 -131.466
25000000000032 102898253824 89.966 3.1642 7.1752 8.4992 3.1655 7.1761 8.4958 -8.992 -6.188 -7.561
25000100000003 99376422912 88.925 10.3195 5.6962 3.8677 10.3153 5.6972 3.8702 -11.629 45.333 114.846
25000100000002 98914492416 88.792 6.6950 6.4475 3.0777 6.6937 6.4444 3.0756 -2.275 6.821 2.101
25000100000006 98792611840 88.756 6.6775 1.2410 7.9922 6.6789 1.2419 7.9937 7.253 -14.728 -5.186
25000000000027 94629126144 87.493 1.9421 7.1508 1.5413 1.9379 7.1414 1.5414 45.544 -32.243 -17.711
25000000000031 92129681408 86.713 3.5343 11.8422 4.7463 3.5351 11.8420 4.7449 -62.879 17.075 57.378
25000100000008 90701930496 86.262 1.8460 6.1954 10.8776 1.8424 6.1915 10.8789 -58.700 -10.821 -65.788
25000100000007 88435318784 85.535 10.4257 10.6034 9.1521 10.4298 10.6023 9.1519 6.768 6.099 -6.249
25000100000009 84894023680 84.380 3.7353 0.3667 8.1965 3.7327 0.3703 8.2070 89.241 111.961 6.805
25000000000028 79748177920 82.639 10.2335 3.9637 6.2111 10.2330 3.9688 6.2043 -67.486 -11.955 -28.204
25000100000012 74572029952 80.812 2.9637 4.7239 3.7452 2.9625 4.7241 3.7448 -4.435 4.084 10.129
25000100000000 74343841792 80.730 4.9774 9.3369 4.9300 4.9565 9.3267 4.9096 -75.951 48.390 61.473
25000100000004 74064494592 80.626 0.3700 7.6632 7.8524 0.3702 7.6688 7.8494 -25.562 3.266 -37.022
25000100000001 73083248640 80.267 4.8718 3.4218 7.3665 4.8842 3.4222 7.3640 -19.012 -4.257 -49.931
