haloID mh rh halo_x halo_y halo_z gal_x gal_y gal_z spin_x spin_y spin_z
10000000000000 335921315840 43.321 11.4526 3.3818 1.1581 11.6072 3.3150 0.9665 -1648.002 -578.927 -1067.411
10000000000002 172961611776 34.721 3.6864 0.7249 11.6403 3.7041 0.7145 11.6482 94.128 -26.413 -128.635
10000000000003 142116896768 32.521 12.1774 4.1160 1.5957 12.1619 4.1135 1.5972 96.249 -100.888 111.773
10000000000001 137445687296 32.160 3.6118 10.2648 2.4148 3.6205 10.2857 2.3953 -47.238 38.636 11.257
10000000000005 111715442688 30.014 10.8978 4.3178 2.7809 10.9025 4.3174 2.7817 -16.604 -13.383 -5.325
10000000000007 98387886080 28.769 9.8343 5.0132 4.7889 9.8441 5.0056 4.7698 15.924 -132.279 104.484
10000000000013 78735187968 26.709 8.1992 8.2529 4.6403 8.2025 8.2619 4.6438 41.863 63.996 -54.012
10000000000009 75536736256 26.343 1.2265 9.2233 12.0184 1.2451 9.2549 12.0272 127.972 -69.464 -74.997
10000000000010 74000596992 26.163 3.8591 7.2720 6.7573 3.8600 7.2703 6.7577 10.711 15.427 18.860
10000000000008 72989409280 26.044 1.8263 11.4907 0.0973 1.8338 11.4908 0.0927 -132.076 5.813 -118.807
10000000000012 70824689664 25.783 0.1314 3.7988 0.6775 0.1354 3.7973 0.6789 66.479 -36.907 15.169
10000000000011 70172483584 25.703 2.3085 11.2615 0.0148 2.3086 11.2604 0.0107 88.406 -33.952 -44.190
10000000000014 56783114240 23.953 4.5628 1.0685 9.3257 4.5629 1.0699 9.3246 0.026 -19.538 1.532
10000000000016 42395906048 21.729 11.2289 4.4527 1.7063 11.2540 4.4642 1.6928 -44.346 74.257 -25.476
10000000000024 32704647168 19.929 4.1712 9.4745 6.7859 4.1724 9.4770 6.7907 22.160 1.931 -8.867
