haloID mh rh halo_x halo_y halo_z
28000000000000 14925691879424 518.966 16.5566 24.4938 17.7077
28000000000001 9141835792384 440.723 5.2804 14.1840 11.1873
28000000000004 5628720840704 374.927 9.3166 12.9927 3.0267
28000000000007 4930229239808 358.751 6.5316 24.1707 11.3500
28000000000010 4668531933184 352.269 22.8815 0.0500 16.0673
28000000000006 4305676664832 342.896 19.5362 13.3784 11.5686
28000000000008 4088448679936 337.043 20.9803 21.3556 15.9143
28000000000009 3925286060032 332.495 12.3488 19.6489 16.5078
28000000000011 3794452086784 328.756 12.7689 7.7836 5.0325
28000000000003 3706646167552 326.200 23.7646 22.2832 18.2461
28000000000002 3667165446144 325.029 22.9696 23.7008 16.8424
28000000000012 3353958940672 315.502 10.6281 17.0394 3.9226
28000000000013 3220509032448 311.254 11.4936 20.3748 10.6927
28000000000018 3146898997248 308.875 17.3841 3.5933 19.5478
28000000000015 3001798361088 304.042 22.1373 3.5082 15.7485
28000000000005 2802507317248 297.167 13.8585 11.0457 6.5864
28000000000019 2568342208512 288.654 13.5443 20.4007 15.6868
28000000000020 2309899157504 278.617 7.7890 19.6909 19.4927
28000000000016 2203357020160 274.277 9.8547 2.6164 13.1511
28000000000017 2140393308160 271.637 7.6158 10.3962 8.1982
28000000000021 2139608186880 271.601 10.4981 15.4071 5.1948
28000000000022 1913088245760 261.649 9.2707 10.7232 5.2556
28000000000023 1824743096320 257.564 18.4306 1.1837 17.5248
28000000000026 1528723800064 242.819 14.3633 13.6365 0.0964
28000000000024 1511279296512 241.880 7.2144 0.7776 13.2799
28000000000028 1464841011200 239.387 20.9011 3.1604 15.9305
28000000000027 1427487195136 237.334 6.5885 23.2115 12.5642
28000000000029 1329592532992 231.777 10.5715 17.0360 5.6467
28000000000014 1309372710912 230.594 5.0798 22.0724 13.1989
28000000000030 1277746872320 228.728 4.1431 21.5229 14.1574
28000000000025 1225069953024 225.536 22.5600 16.1658 13.2754
28000000000032 1212158443520 224.734 21.4698 5.2903 15.2145
28000000000033 1079781818368 216.242 13.1611 15.8315 17.7099
28000000000034 954541473792 207.524 20.7850 16.9252 18.4349
28000000000038 932678467584 205.943 19.9533 0.2127 16.8124
28000000000031 896529989632 203.242 15.8063 12.1948 9.7960
28000000000037 885498118144 202.406 1.4852 17.5898 4.3576
28000000000035 867632218112 201.037 10.6254 19.3274 7.4511
28000000000042 828197634048 197.940 16.4431 9.2828 23.1813
28000000000045 824901173248 197.680 1.5326 8.4973 14.3102
28000000000041 813565673472 196.761 12.7745 7.1964 10.3288
28000000000040 812925386752 196.721 18.4208 11.0434 18.9635
28000000000036 799560826880 195.627 15.6876 8.6351 0.3152
28000000000039 768303955968 193.047 18.6030 20.7908 15.3447
28000000000048 721230692352 189.024 8.8962 21.6889 12.7525
28000000000049 688102572032 186.077 2.1844 15.5719 8.6967
28000000000052 664249040896 183.911 6.5588 1.9362 13.3638
28000000000054 655039725568 183.050 12.0840 20.6316 10.8899
28000000000051 638508531712 181.499 21.2589 18.9044 17.5135
28000000000047 622117126144 179.935 15.8777 8.7015 24.0546
