haloID mh rh halo_x halo_y halo_z
28000000000000 6045702815744 383.976 12.0881 4.4744 1.4133
28000000000001 3153241833472 309.071 2.2066 10.0210 12.4539
28000000000002 2551019470848 288.008 3.4200 6.6136 7.5786
28000000000003 1123146661888 219.103 2.8169 9.7142 1.6791
28000000000004 886958784512 202.521 1.9670 8.3124 11.1665
28000000000005 697100009472 186.884 2.3473 11.7135 11.7001
28000000000007 582640992256 176.039 5.9065 9.7902 1.7355
28000000000008 499620937728 167.254 10.7686 4.9691 3.1748
28000000000006 491618893824 166.351 3.7404 8.7229 6.1718
28000000000010 428219990016 158.874 8.0062 8.1146 4.4759
28000000000011 345282969600 147.870 3.1394 0.7304 10.4212
28000000000012 334166556672 146.267 1.0365 6.0922 12.1663
28000000000015 317667966976 143.820 10.3024 4.6624 4.8267
28000000000014 307094847488 142.202 9.3870 7.1183 4.2803
28000000000013 263099957248 135.062 1.9786 8.9451 11.6073
28000000000017 228756766720 128.910 2.1853 11.1418 12.1359
28000000000016 222192697344 127.669 2.6389 7.2975 9.3992
28000000000019 217477578752 126.747 2.4733 1.9641 4.2745
28000000000009 216748752896 126.614 3.7356 9.7253 4.2243
28000000000018 171368431616 117.075 3.7392 4.6505 7.7821
28000000000020 161809563648 114.856 3.4826 10.1743 6.8416
28000000000023 128843022336 106.460 3.6930 9.6711 6.7281
28000000000022 127158534144 105.995 1.6774 7.2198 1.4315
28000000000021 126771077120 105.888 3.8262 9.3498 5.1460
28000000000025 117747343360 103.313 10.2847 4.1455 5.9431
28000000000030 114801041408 102.438 10.6042 2.0459 5.7289
28000000000024 114776727552 102.431 2.8775 7.0598 8.2385
28000000000031 114234818560 102.270 6.5259 1.2475 8.0111
28000000000026 112606158848 101.782 6.4836 6.0902 4.3101
28000000000029 112076652544 101.626 1.6473 7.0378 12.1052
28000000000027 108399247360 100.502 10.4620 10.5964 9.2325
28000100000003 104692277248 99.340 10.4612 5.4105 3.6750
28000100000002 103254695936 98.879 3.6052 11.6835 4.7052
28000100000001 101857165312 98.433 6.7057 6.5033 3.1579
28000000000028 95471722496 96.334 4.6631 3.5134 7.3855
28000100000004 93260947456 95.582 1.8118 6.4314 11.0257
28000100000000 81711366144 91.463 0.6410 7.5935 7.9540
28000100000010 79997059072 90.818 2.8254 4.8831 3.7214
28000100000006 76309528576 89.401 3.7484 0.3026 8.3542
28000100000005 74071597056 88.521 3.2655 9.1018 8.1801
28000100000018 72172019712 87.756 3.7567 5.8898 7.6793
28000100000008 71479926784 87.475 3.7437 3.3521 6.8134
28000100000009 70142509056 86.924 4.7089 9.2510 4.8640
28000100000014 69928787968 86.837 2.1221 9.0351 1.4293
28000100000016 66525413376 85.401 2.8828 7.2035 8.9016
28000100000012 64927100928 84.713 3.2789 12.4543 4.6242
28000100000011 62376914944 83.593 6.4690 9.0817 3.8000
28000100000020 60701806592 82.840 11.1523 11.2212 9.7742
28000100000019 60643385344 82.806 7.9012 11.0668 9.3164
28000100000023 60486545408 82.741 5.6373 8.3362 8.3544
28000100000024 59834642432 82.444 5.9824 9.4681 3.0112
28000100000015 58449629184 81.799 7.0382 8.7045 4.0941
28000100000027 56491491328 80.878 7.1048 9.9990 7.4741
28000100000022 56191229952 80.731 6.6428 9.2341 3.3058
28000100000026 55515521024 80.405 5.9733 9.6762 0.3288
28000100000021 53184028672 79.265 2.0846 8.4293 1.0153
28000100000013 52218793984 78.783 5.4584 7.9945 1.7046
28000100000028 50023063552 77.665 2.3759 6.0695 3.2016
28000100000029 48984866816 77.123 3.7950 5.6738 3.9518
28000100000030 46157131776 75.607 6.8589 8.2309 10.1483
28000100000031 42267987968 73.420 2.9514 7.2013 7.6726
28000200000000 40518033408 72.394 3.7891 8.4871 10.3700
28000200000010 31744397312 66.739 3.1761 7.0679 8.4764
28000200000014 31203661824 66.355 7.4525 10.1128 7.7917
28000200000017 29052391424 64.793 0.7611 1.9972 0.4301
28000200000024 28155287552 64.123 0.6734 2.9226 0.8715
