haloID mh rh halo_x halo_y halo_z gal_x gal_y gal_z spin_x spin_y spin_z
0 38621264430349 1033.640 16.7530 78.3730 70.3740 16.7420 78.4020 70.3930 26569.008 26569.008 26569.008
2 29130824138759 940.930 97.5170 87.7560 78.1450 97.5120 87.7580 78.1440 -0.391 -0.391 -0.391
6 21959853091623 856.330 63.7810 57.1650 104.2060 63.7690 57.1490 104.2150 -25.798 -25.798 -25.798
4 21755791300975 853.670 57.6090 2.2030 103.2690 57.5800 2.2560 103.2570 14.185 14.185 14.185
5 21198078358024 846.320 78.1270 104.1060 61.5720 78.1080 104.1510 61.5590 -18.309 -18.309 -18.309
3 20411063713989 835.700 79.0890 14.5120 50.0370 78.9810 14.5220 50.1910 -33.579 -33.579 -33.579
8 16571759483253 779.640 38.9750 101.2960 109.4740 39.0040 101.3060 109.4630 19.409 19.409 19.409
9 15366639903628 760.260 59.9710 97.3200 61.5710 60.0290 97.2830 61.6060 -15.330 -15.330 -15.330
7 14871013118720 751.980 38.1500 43.8050 61.1570 38.1090 43.8520 61.1510 7.890 7.890 7.890
11 14827546984904 751.250 100.7570 103.0900 77.0090 100.7640 103.0670 77.0280 -1.972 -1.972 -1.972
13 14808348993522 750.910 0.5200 44.4260 30.8800 0.5340 44.4210 30.8410 16.035 16.035 16.035
14 14655254926128 748.310 108.0250 19.6040 28.9520 108.0360 19.6140 28.9550 5.589 5.589 5.589
10 13385931237469 726.080 93.9820 22.4860 52.9930 93.9840 22.5000 52.9400 8.583 8.583 8.583
1 12776028887869 714.880 84.8990 109.4680 54.4320 84.7720 109.5070 54.4980 -162.491 -162.491 -162.491
16 11647644048794 693.190 27.6480 101.2010 4.9070 27.6400 101.2140 4.9220 -0.806 -0.806 -0.806
19 11195760365472 684.080 105.0290 84.6660 56.0430 105.0440 84.6690 56.0380 -741.758 -741.758 -741.758
23 10931452099652 678.650 36.1010 44.7880 58.7720 36.1080 44.8070 58.7780 -53.613 -53.613 -53.613
22 10895510486798 677.930 33.3680 66.6510 71.0770 33.3700 66.6240 71.0870 8.097 8.097 8.097
15 10687966033859 673.600 36.8870 40.5750 60.4890 36.9100 40.5180 60.5270 -0.667 -0.667 -0.667
17 10249682274431 664.250 61.2750 56.8940 102.7840 61.2410 56.9250 102.8010 4.304 4.304 4.304
