haloID mh rh halo_x halo_y halo_z gal_x gal_y gal_z spin_x spin_y spin_z
9000000000000 171789156352 31.522 11.3132 3.2514 1.2356 11.3304 3.2618 1.2059 28.919 311.498 82.715
9000000000001 122969931776 28.199 3.8072 0.7370 11.6956 3.7824 0.7521 11.6894 63.069 29.866 -88.935
9000000000003 98892242944 26.222 3.6265 10.2291 2.4214 3.6404 10.2292 2.4218 -108.893 125.597 45.012
9000000000002 89730039808 25.386 12.3228 4.1728 1.6040 12.3072 4.1655 1.6232 -46.138 51.249 -18.581
9000000000004 83070631936 24.741 10.8851 4.3205 2.8823 10.8754 4.3108 2.8763 56.357 -74.590 -14.379
9000000000008 77854031872 24.213 3.8504 10.5446 2.3136 3.8521 10.5489 2.3277 -9.311 22.861 45.299
9000000000009 68629082112 23.215 3.8595 7.2855 6.7119 3.8582 7.2834 6.7181 -23.836 -2.682 -1.525
9000000000012 62051635200 22.449 0.2466 3.7915 0.6670 0.2531 3.7825 0.6547 27.033 9.331 -5.943
9000000000005 53797289984 21.406 9.8414 5.0361 4.8551 9.8325 5.0310 4.8483 -18.748 83.270 -28.344
9000000000011 53676290048 21.390 11.7890 3.0041 0.3129 11.7900 2.9955 0.3100 -29.676 43.434 12.854
9000000000010 47899443200 20.593 8.1554 8.2909 4.6439 8.1857 8.2761 4.6463 69.285 137.558 -31.984
9000000000025 29144344576 17.450 4.2218 9.5085 6.8232 4.2227 9.5067 6.8153 -2.427 21.912 -14.446
