haloID mh rh halo_x halo_y halo_z gal_x gal_y gal_z spin_x spin_y spin_z
1 381147013618645 1528.820 29.2660 70.6750 72.1940 29.2430 70.6170 72.1930 5979.067 5979.067 5979.067
0 376813747619967 1522.980 1.0990 38.6280 26.3540 1.2290 38.9260 26.6620 26569.008 26569.008 26569.008
2 337538145811310 1468.080 16.2050 75.0280 70.2700 16.2250 75.0240 70.2920 17827.032 17827.032 17827.032
4 253762644820685 1334.960 110.3620 27.0970 35.4810 110.3670 27.0710 35.4810 1667.606 1667.606 1667.606
9 212519575957835 1258.360 60.0280 98.6100 63.5340 60.0120 98.6660 63.5340 -12071.108 -12071.108 -12071.108
6 208590085764871 1250.540 64.3550 56.2050 103.7770 64.2110 56.2680 103.6930 4728.454 4728.454 4728.454
8 207975607344546 1249.250 35.0850 48.7870 61.0170 35.1740 48.8210 61.0850 3134.114 3134.114 3134.114
5 203177363318792 1239.570 27.6730 100.6680 3.4570 27.6830 100.7920 3.5040 -15311.564 -15311.564 -15311.564
3 171004709674247 1170.390 100.4550 87.3950 79.9310 101.0530 87.1670 79.7680 -2640.098 -2640.098 -2640.098
10 163114164521135 1152.070 86.3420 0.9540 56.3990 86.2560 0.9340 56.3910 -9934.205 -9934.205 -9934.205
11 131414692858207 1072.050 35.5240 53.2630 63.9440 35.5400 53.2810 63.9440 -88181.201 -88181.201 -88181.201
14 114381674138364 1023.560 82.0270 11.3760 52.4520 82.0140 11.3610 52.4530 20878.625 20878.625 20878.625
15 109236174218843 1007.980 77.2890 104.7740 61.6590 77.2680 104.7600 61.6930 -30495.152 -30495.152 -30495.152
17 105641575387796 996.760 64.1390 100.1710 65.6310 64.1340 100.1820 65.6080 5633.556 5633.556 5633.556
20 95372038192051 963.390 104.7260 87.0900 59.8050 104.7180 87.0960 59.8130 -21689.691 -21689.691 -21689.691
18 94584763418848 960.690 97.2030 26.6690 38.4140 97.2020 26.6490 38.4190 31214.089 31214.089 31214.089
19 94420666981056 960.170 1.5670 76.6140 81.4690 1.5880 76.5960 81.4870 -1614.470 -1614.470 -1614.470
7 89359760873464 942.680 53.9320 1.2790 104.1520 54.5300 1.2700 104.1590 -7006.316 -7006.316 -7006.316
12 85385618204593 928.500 26.9790 1.6720 13.2120 26.9830 1.5920 13.2310 -12670.975 -12670.975 -12670.975
26 80054685653957 908.750 77.8830 105.1630 24.9610 77.8800 105.1290 24.9520 43933.226 43933.226 43933.226
27 79895048843385 908.160 34.5870 100.9120 108.8140 34.5810 100.9080 108.8000 -50869.149 -50869.149 -50869.149
22 75892837064246 892.710 58.0140 32.0640 69.8730 58.0090 32.0660 69.8670 224.527 224.527 224.527
30 70539979184573 871.240 9.7900 43.7250 7.0490 9.8050 43.7080 7.0890 -9842.736 -9842.736 -9842.736
24 66755585815103 855.350 22.2320 88.8070 105.6800 22.2320 88.8200 105.6810 56829.710 56829.710 56829.710
33 66196792422835 852.950 7.6650 31.2440 29.0710 7.7250 31.2580 29.1200 33846.794 33846.794 33846.794
28 64874584075854 847.230 28.2970 34.7740 77.4960 28.3090 34.7560 77.4810 1832.509 1832.509 1832.509
35 63478830836324 841.110 43.1910 2.7340 107.7070 43.1570 2.7060 107.7080 31117.592 31117.592 31117.592
40 63295757120684 840.310 13.9160 45.3430 109.6280 13.9170 45.3200 109.6370 -9586.047 -9586.047 -9586.047
16 63123918480016 839.580 104.4800 87.0730 81.9990 103.7200 87.9930 82.0990 -17535.985 -17535.985 -17535.985
21 62945496586124 838.770 19.6590 77.9870 101.2660 19.8340 78.3420 101.2160 19898.734 19898.734 19898.734
25 62604459998806 837.260 56.6570 105.4390 55.5210 56.6210 105.4520 55.5080 -46893.493 -46893.493 -46893.493
32 61449837427479 832.080 78.5930 101.9970 39.3180 78.7080 102.0010 39.3260 5425.143 5425.143 5425.143
37 57919263416384 815.830 44.0990 61.2820 78.8840 44.0980 61.2200 78.8570 45297.516 45297.516 45297.516
47 57765985066327 815.110 12.9370 56.8840 38.7120 12.9310 56.8920 38.6900 -22630.165 -22630.165 -22630.165
