haloID mh rh halo_x halo_y halo_z gal_x gal_y gal_z spin_x spin_y spin_z
1118 997271836293 305.520 36.2100 65.6040 69.1750 36.1880 65.6240 69.1750 -11.490 -11.490 -11.490
1219 994225112386 305.200 103.3610 92.5420 101.3280 103.3590 92.5440 101.3280 510.326 510.326 510.326
985 993278312364 305.110 52.2760 108.4210 73.1210 52.2780 108.4610 73.1410 77.295 77.295 77.295
1098 991894788034 304.960 76.8020 74.1070 37.6590 76.7950 74.1150 37.6710 -2.240 -2.240 -2.240
1134 991408914518 304.910 8.6220 54.2880 26.2240 8.6110 54.2810 26.2190 31117.592 31117.592 31117.592
1055 990622222885 304.830 77.5530 56.3490 106.6510 77.5530 56.3290 106.6830 -16.100 -16.100 -16.100
1190 990148659432 304.790 63.5930 6.0460 101.4430 63.5920 6.0440 101.4440 294.023 294.023 294.023
1255 989471601697 304.720 4.4150 19.0570 37.0000 4.4140 19.0570 36.9990 41.341 41.341 41.341
1129 989246199708 304.700 97.0120 27.1130 27.6860 97.0040 27.0970 27.6920 0.341 0.341 0.341
1117 988850648341 304.650 62.8930 73.1710 54.7850 62.8980 73.1570 54.7780 -111.696 -111.696 -111.696
1147 988261008660 304.590 99.9470 57.4410 2.6150 99.9490 57.4360 2.6170 48.367 48.367 48.367
1317 986164169902 304.370 1.4820 79.2840 96.8230 1.4830 79.2840 96.8220 -3.525 -3.525 -3.525
1157 984858946761 304.250 49.3270 53.9970 78.1190 49.3220 53.9900 78.1210 46.840 46.840 46.840
1261 983282543590 304.080 0.5910 41.8930 30.8020 0.5960 41.8940 30.8000 -60.651 -60.651 -60.651
994 982759884763 304.030 42.8200 55.1680 65.6480 42.8180 55.1780 65.6330 2.468 2.468 2.468
704 980625727556 303.810 49.8070 99.2030 74.3020 49.8710 99.2610 74.3420 -8.940 -8.940 -8.940
1245 980461546688 303.780 9.9930 1.6560 8.8900 9.9940 1.6570 8.8890 -10.680 -10.680 -10.680
551 976413384146 303.380 107.9810 36.0150 32.5610 108.0000 36.0830 32.5090 37.051 37.051 37.051
608 976091282950 303.340 90.3950 0.5820 61.3270 90.3150 0.4620 61.3810 -102.494 -102.494 -102.494
1163 975828482104 303.310 34.1300 17.4850 107.2650 34.1250 17.4910 107.2640 115.018 115.018 115.018
997 975792054544 303.310 17.8430 11.8860 51.9300 17.8290 11.9050 51.9080 -36.760 -36.760 -36.760
1150 973332327874 303.050 16.5930 41.6040 36.4360 16.6060 41.6040 36.4460 16.235 16.235 16.235
962 973084426119 303.020 26.7390 79.2620 72.3830 26.8000 79.2660 72.3300 1.340 1.340 1.340
498 973036349038 303.010 9.0480 35.1660 33.7970 8.9790 35.3040 33.7580 -0.325 -0.325 -0.325
1221 971838661575 302.900 80.1280 70.4770 33.9520 80.1290 70.4760 33.9520 13.462 13.462 13.462
1225 971208246580 302.830 69.0910 106.6290 109.8580 69.0930 106.6320 109.8580 100.274 100.274 100.274
1241 970891859952 302.800 102.1510 74.4010 60.9370 102.1540 74.4000 60.9340 -2.855 -2.855 -2.855
1139 970850819873 302.790 53.8000 56.3020 49.3510 53.7760 56.2940 49.3660 167.641 167.641 167.641
1269 970561190205 302.760 0.8590 29.9610 97.7000 0.8630 29.9780 97.6940 3.854 3.854 3.854
1044 965277285908 302.210 105.5230 70.6540 91.3930 105.5110 70.6630 91.4110 -3.071 -3.071 -3.071
1204 964432967647 302.130 30.7350 20.8680 33.7910 30.7360 20.8680 33.7910 -34.575 -34.575 -34.575
1171 964080680693 302.090 30.2230 11.8500 42.8550 30.2290 11.8500 42.8610 -20.347 -20.347 -20.347
1065 962360533951 301.900 22.9750 12.0490 44.1040 22.9510 12.0650 44.0960 -5.087 -5.087 -5.087
1116 959488149681 301.600 41.2060 12.7130 18.5860 41.2230 12.7130 18.5490 210.624 210.624 210.624
1179 958944445864 301.550 97.1600 54.1300 0.2810 97.1630 54.1250 0.2730 -20.789 -20.789 -20.789
1249 958617318948 301.520 51.8650 88.9420 60.1300 51.8680 88.9470 60.1270 6.112 6.112 6.112
1271 957729139232 301.430 108.6160 43.4460 1.9530 108.6130 43.4500 1.9530 5.264 5.264 5.264
1168 957106825977 301.360 24.0480 0.4790 13.1920 24.0480 0.4820 13.1900 -24.377 -24.377 -24.377
1156 955621795930 301.200 77.6150 29.4450 1.0870 77.6220 29.4380 1.0870 -0.592 -0.592 -0.592
1127 955336709471 301.180 73.8450 48.3250 32.4290 73.8430 48.3320 32.4350 -23.898 -23.898 -23.898
1322 952734219703 300.900 74.5690 14.1850 53.5200 74.5670 14.1860 53.5200 -11.661 -11.661 -11.661
1206 952611838276 300.890 97.4690 50.2430 104.6830 97.4670 50.2440 104.6840 -46.093 -46.093 -46.093
1404 952025253390 300.830 77.1670 6.6030 45.0560 77.1660 6.6010 45.0610 -6.986 -6.986 -6.986
798 951487867885 300.770 22.0190 67.1410 41.0510 22.0680 67.1030 41.0110 -64.395 -64.395 -64.395
1226 951381837368 300.760 93.5890 74.7930 78.9840 93.5910 74.7930 78.9820 -361.706 -361.706 -361.706
1325 951313158881 300.740 29.3080 17.6320 91.1410 29.3080 17.6330 91.1400 -0.321 -0.321 -0.321
1334 950770694805 300.700 83.7800 19.6950 78.2920 83.7820 19.6920 78.2940 -1.075 -1.075 -1.075
1031 950118737902 300.620 28.8500 20.3680 91.1000 28.8640 20.3300 91.0630 -16.135 -16.135 -16.135
1361 948708609290 300.470 92.2760 89.6610 87.8010 92.2850 89.6570 87.8080 0.268 0.268 0.268
1207 947737774892 300.380 51.9600 58.3510 52.8310 51.9570 58.3540 52.8330 1.190 1.190 1.190
1264 946589674522 300.250 96.9610 12.4570 46.1670 96.9600 12.4590 46.1660 15.406 15.406 15.406
1212 946462626688 300.240 69.3110 10.6680 108.8790 69.3140 10.6520 108.8650 -7.773 -7.773 -7.773
787 946258450564 300.220 20.1680 80.4370 1.9510 20.2330 80.4830 2.0370 22.938 22.938 22.938
1149 945660982034 300.160 29.3630 21.3100 36.8230 29.3700 21.3430 36.8390 -0.135 -0.135 -0.135
931 945139641545 300.100 5.5460 22.5210 91.7720 5.5400 22.4880 91.7340 38.341 38.341 38.341
1077 945083865539 300.090 34.0400 20.0040 30.3020 34.0550 20.0090 30.2950 -0.477 -0.477 -0.477
1289 944442548380 300.020 49.6770 35.9690 72.5880 49.6730 35.9730 72.5880 6.004 6.004 6.004
1294 943390621885 299.910 70.2490 5.2320 18.8320 70.2460 5.2310 18.8350 14.492 14.492 14.492
892 943351262176 299.900 37.9290 77.1980 20.1740 37.9430 77.1870 20.1950 5.589 5.589 5.589
1360 942383840671 299.810 44.6010 32.3380 59.8980 44.6020 32.3350 59.8990 9.255 9.255 9.255
727 942348144266 299.800 40.2050 9.3740 47.1810 40.3970 9.3420 47.2870 -0.437 -0.437 -0.437
1076 941598056650 299.730 96.0210 91.3110 53.3280 96.0090 91.3100 53.3030 -1.812 -1.812 -1.812
847 940933276912 299.660 91.1300 1.4670 61.8460 91.2340 1.5780 61.9160 -24.572 -24.572 -24.572
824 940635015026 299.620 100.0330 76.8980 40.0140 99.9890 76.7520 40.0000 -0.992 -0.992 -0.992
1172 940490437237 299.600 98.6990 5.3000 57.7510 98.7020 5.3040 57.7580 -11.521 -11.521 -11.521
1038 940162379740 299.580 104.4520 82.4350 30.6940 104.4720 82.4330 30.6430 1.341 1.341 1.341
476 940119025864 299.570 82.4280 65.0000 87.3120 82.4490 64.7730 87.5150 23.057 23.057 23.057
1185 940098123817 299.570 38.1470 13.1560 44.5880 38.1470 13.1570 44.5880 -1.684 -1.684 -1.684
1235 939328426549 299.480 23.8380 80.7840 26.9170 23.8350 80.7840 26.9060 -8.395 -8.395 -8.395
938 938853355306 299.430 62.1060 55.2130 92.9960 62.0940 55.2300 93.0640 -41.304 -41.304 -41.304
1349 937734035324 299.320 69.9600 54.6030 82.3110 69.9590 54.6040 82.3100 257.149 257.149 257.149
1017 937450168108 299.280 66.4000 56.4600 105.8540 66.3440 56.4370 105.8610 -1.991 -1.991 -1.991
