haloID mh rh halo_x halo_y halo_z gal_x gal_y gal_z spin_x spin_y spin_z
21000000000000 4635107000320 266.315 11.8718 4.1768 1.3778 11.8427 4.1896 1.3904 -133.091 200.207 -74.556
21000000000001 1721025298432 191.406 2.0395 10.6564 12.4251 2.0305 10.6091 12.4249 381.436 -205.805 48.597
21000000000002 950074671104 157.022 3.1068 9.8980 2.1277 3.1072 9.9057 2.1213 438.097 493.241 332.503
21000000000003 694318465024 141.433 1.7056 8.3165 10.5360 1.7065 8.2772 10.5084 -1058.447 608.195 -1069.458
21000000000004 643369795584 137.884 3.4411 6.4540 7.8329 3.4688 6.4305 7.8352 -16.114 -22.632 452.370
21000000000005 550696189952 130.919 2.6896 12.3886 11.4897 2.6904 12.3931 11.4897 -8.729 -195.836 478.794
21000000000007 451106570240 122.494 3.6860 5.4321 7.5186 3.6918 5.4293 7.5136 -28.737 180.480 94.067
21000000000006 447534891008 122.168 3.6592 6.9514 7.3119 3.6527 6.9639 7.3260 167.501 -8.444 -24.106
21000000000009 431343206400 120.677 10.3328 4.9138 3.8624 10.3402 4.9152 3.8500 40.083 -57.235 89.727
21000000000011 347449327616 112.284 8.1545 8.3215 4.6124 8.1748 8.3060 4.6211 -47.657 78.113 161.522
21000000000008 344919670784 112.012 3.7806 8.9921 6.2618 3.7804 8.9495 6.2403 -420.388 200.869 -430.421
21000000000010 301362970624 107.084 6.3805 10.0013 1.5120 6.3726 10.0026 1.4951 34.506 110.328 -44.008
21000000000013 261027627008 102.073 10.1330 4.4051 5.4617 10.1300 4.4030 5.4510 -25.508 -20.774 -12.374
21000000000015 252271099904 100.922 9.4275 7.4118 4.6344 9.4458 7.4069 4.6372 12.251 108.809 21.158
21000000000014 244165705728 99.831 1.7234 5.8384 12.0767 1.7256 5.8449 12.0699 8.991 21.473 -68.043
21000000000012 218140229632 96.149 3.4445 1.0225 9.9669 3.4953 0.9979 9.9423 83.572 43.280 201.041
21000000000020 186756874240 91.299 3.4826 11.3323 11.7178 3.4884 11.3345 11.7130 2.226 -3.009 -7.481
21000000000018 176632184832 89.616 2.3437 6.8346 9.2720 2.3520 6.8334 9.2796 23.683 -44.408 -19.250
21000000000021 172312231936 88.883 2.4770 2.0076 4.4253 2.4671 2.0076 4.4373 -6.144 94.972 21.748
21000000000017 168700362752 88.254 1.5549 8.7546 11.6080 1.5618 8.7517 11.6088 -62.122 -16.285 -2.484
21000000000022 161005256704 86.892 3.5592 10.9333 7.0151 3.5718 10.9233 7.0020 -475.735 -375.874 -97.723
21000000000016 141988708352 83.325 3.7117 9.8985 4.2607 3.7159 9.9110 4.2553 5.758 4.087 -10.041
21000000000023 118808215552 78.517 3.8868 10.6192 4.6836 3.8943 10.6249 4.6764 7.382 -79.468 -43.001
21000000000025 115630972928 77.812 3.7648 10.1626 6.8256 3.7619 10.1584 6.8251 8.234 -53.174 -3.566
21000000000029 103492280320 74.991 10.5063 1.7047 5.8892 10.5049 1.7081 5.8945 22.069 4.528 24.940
21000000000027 102225944576 74.683 1.1275 6.9212 11.8956 1.1283 6.9273 11.9017 -89.911 68.046 -137.128
21000000000028 101545811968 74.514 3.5995 7.2695 8.8278 3.6021 7.2698 8.8310 8.539 20.089 -20.713
21000000000019 97616666624 73.545 4.3586 6.4733 6.6813 4.3700 6.4680 6.7040 114.489 271.768 131.870
21000000000026 96308420608 73.213 2.2532 7.0291 1.6952 2.2534 7.0297 1.6909 -9.773 -35.522 -22.266
21000000000031 95711444992 73.062 6.4380 9.8052 2.1930 6.4396 9.8048 2.1943 -22.552 -14.425 -10.445
21000100000000 90529964032 71.717 6.8859 1.2266 7.9646 6.8837 1.2248 7.9627 4.765 4.503 -12.208
21000000000035 88419893248 71.155 10.1749 6.0093 4.0941 10.1690 6.0156 4.0939 -14.519 1.412 53.831
21000000000033 86877323264 70.739 3.7347 4.0501 7.8962 3.7330 4.0544 7.9034 -10.684 33.286 20.740
21000000000034 86070870016 70.518 6.6747 6.3783 2.9598 6.6719 6.3756 2.9647 5.425 40.713 24.486
